코드명,코스피,Size & Book Value(2X3) HML,Size & Book Value(2X3) SMB,Size & Momentum(2X3) Mom,ECO
1999-12-28,"1,028.07",70.88,150.38,42.20,7.34
2000-01-31,943.88,77.47,146.14,39.62,7.20
2000-02-29,828.38,66.48,220.03,51.90,7.01
2000-03-31,860.94,71.84,237.63,59.67,7.01
2000-04-28,725.39,72.85,227.93,57.50,7.10
2000-05-31,731.88,65.48,212.38,57.38,7.16
2000-06-30,821.22,63.61,190.43,53.35,7.18
2000-07-31,705.97,71.60,213.14,50.75,7.06
2000-08-31,688.62,75.40,230.81,47.90,7.05
2000-09-29,613.22,80.45,240.29,41.63,7.05
2000-10-31,514.48,77.84,254.74,43.13,7.02
2000-11-30,509.23,80.59,263.79,45.26,6.94
2000-12-26,504.62,85.79,233.14,47.33,6.87
2001-01-31,617.91,77.92,230.22,38.08,5.94
2001-02-28,578.10,85.33,260.87,41.34,5.68
2001-03-30,523.22,90.86,266.38,42.49,5.70
2001-04-30,577.36,83.35,248.64,41.38,5.92
2001-05-31,612.16,92.37,250.08,41.21,5.77
2001-06-29,595.13,102.87,255.66,45.39,5.57
2001-07-31,541.55,99.01,252.75,44.51,5.14
2001-08-31,545.11,105.70,235.13,47.21,4.81
2001-09-28,479.68,117.69,229.38,49.93,4.41
2001-10-31,537.81,106.12,242.51,48.72,4.38
2001-11-30,643.89,115.64,209.20,47.84,4.76
2001-12-28,693.70,116.05,192.98,49.71,4.86
2002-01-31,748.07,129.62,195.42,51.54,4.67
2002-02-28,819.99,133.52,181.90,54.43,4.45
2002-03-29,895.58,133.45,185.48,55.43,4.83
2002-04-30,842.34,133.62,170.45,56.93,4.72
2002-05-31,796.40,134.46,173.29,53.72,4.83
2002-06-28,742.72,139.82,165.24,58.28,4.91
2002-07-31,717.99,140.13,169.63,57.28,4.84
2002-08-30,736.40,141.18,169.83,55.55,4.80
2002-09-30,646.42,152.60,158.88,56.04,4.86
2002-10-31,658.92,145.97,162.00,59.21,4.94
2002-11-29,724.80,146.66,149.06,61.44,4.90
2002-12-30,627.55,151.78,148.02,61.38,4.90
2003-01-30,591.86,151.40,150.03,60.52,4.55
2003-02-28,575.43,160.56,148.92,62.03,4.53
2003-03-31,535.70,165.16,140.05,67.37,4.70
2003-04-30,599.35,164.27,139.64,61.70,4.54
2003-05-30,633.42,160.85,144.26,60.91,4.30
2003-06-30,669.93,154.88,143.12,58.43,4.30
2003-07-31,713.52,153.22,135.32,58.70,3.96
2003-08-29,759.47,165.84,123.47,62.51,3.85
2003-09-30,697.52,174.76,124.89,63.18,3.89
2003-10-31,782.36,178.58,110.49,67.40,4.05
2003-11-28,796.18,192.99,105.38,71.90,4.28
2003-12-30,810.71,195.50,102.53,73.83,4.36
2004-01-30,848.50,194.72,96.33,74.14,4.19
2004-02-27,883.42,199.62,91.11,76.97,4.00
2004-03-31,880.50,199.95,91.30,79.68,3.90
2004-04-30,862.84,200.87,98.49,79.00,3.90
2004-05-31,803.84,204.92,96.56,79.65,3.89
2004-06-30,785.79,214.12,93.19,80.45,3.93
2004-07-30,735.34,240.62,91.99,80.69,3.90
2004-08-31,803.57,237.38,89.51,78.42,3.52
2004-09-30,835.09,250.33,85.43,80.10,3.54
2004-10-29,834.84,263.64,83.05,85.36,3.53
2004-11-30,878.06,281.52,81.88,82.98,3.36
2004-12-30,895.92,270.09,84.20,81.25,3.43
2005-01-31,932.70,246.35,101.52,76.26,3.57
2005-02-28,"1,011.36",272.17,105.00,84.27,3.55
2005-03-31,965.68,279.95,101.26,81.83,3.54
2005-04-29,911.30,294.28,102.06,83.79,3.48
2005-05-31,970.21,273.72,106.50,82.26,3.52
2005-06-30,"1,008.16",288.20,112.47,91.44,3.54
2005-07-29,"1,111.29",299.82,116.97,90.99,3.49
2005-08-31,"1,083.33",303.83,110.89,89.69,3.51
2005-09-30,"1,221.01",325.64,112.07,94.37,3.93
2005-10-31,"1,158.11",324.82,126.04,95.57,3.95
2005-11-30,"1,297.44",324.45,133.98,100.67,3.95
2005-12-29,"1,379.37",331.05,124.98,97.87,4.09
2006-01-31,"1,399.83",323.26,120.38,95.04,4.18
2006-02-28,"1,371.59",325.34,120.48,94.39,4.26
2006-03-31,"1,359.60",338.98,118.23,93.91,4.27
2006-04-28,"1,419.73",359.70,115.24,96.33,4.36
2006-05-30,"1,317.70",357.26,113.50,94.24,4.36
2006-06-30,"1,295.15",352.57,110.11,93.60,4.59
2006-07-31,"1,297.82",360.23,105.91,97.48,4.64
2006-08-31,"1,352.74",362.78,103.45,92.65,4.68
2006-09-29,"1,371.41",367.44,106.71,92.81,4.59
2006-10-31,"1,364.55",381.28,106.22,96.19,4.58
2006-11-30,"1,432.21",404.27,108.40,97.05,4.67
2006-12-28,"1,434.46",422.43,104.11,98.85,4.86
2007-01-31,"1,360.23",428.06,106.72,99.67,4.96
2007-02-28,"1,417.34",432.70,106.56,102.88,4.94
2007-03-30,"1,452.55",444.73,109.66,104.73,4.94
2007-04-30,"1,542.24",469.94,109.10,111.15,5.00
2007-05-31,"1,700.91",533.74,111.01,121.08,5.06
2007-06-29,"1,743.60",532.90,111.27,117.62,5.00
2007-07-31,"1,933.27",580.05,106.92,124.33,5.10
2007-08-31,"1,873.24",593.37,105.81,130.74,5.29
2007-09-28,"1,946.48",602.94,100.50,139.27,5.35
2007-10-31,"2,064.85",574.51,88.30,151.10,5.35
2007-11-30,"1,906.00",570.74,87.60,138.98,5.60
2007-12-28,"1,897.13",573.14,86.88,132.80,5.82
2008-01-31,"1,624.68",624.67,91.03,120.22,5.50
2008-02-29,"1,711.62",612.25,91.80,137.68,5.18
2008-03-31,"1,703.99",599.28,89.95,139.08,5.38
2008-04-30,"1,825.47",624.76,85.15,132.76,5.36
2008-05-30,"1,852.02",636.60,85.77,135.42,5.36
2008-06-30,"1,674.92",653.70,88.44,132.44,5.37
2008-07-31,"1,594.67",663.66,85.91,132.22,5.68
